Design,Variant,CORE_UTILIZATION,MAX_ROUTING_LAYER,CLK_PER,CLK_UNCERTAINTY,FLOW_STAGE,HSTRAP_LAYER,HSTRAP_WIDTH,HSTRAP_PITCH,VSTRAP_LAYER,VSTRAP_WIDTH,VSTRAP_PITCH
superblue18,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue18,5,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,2,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,3,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,4,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,5,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,7,0.5,met5,10,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,8,0.5,met5,5,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue1,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue2,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue3,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue4,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue5,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue6,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue7,10,0.5,met5,3,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,11,0.5,met5,20,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,12,0.5,met5,50,0.5,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue19,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue19,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue1,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue1,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue2,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue2,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue3,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue3,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue4,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue4,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue5,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue5,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue6,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue6,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue7,13,0.5,met5,50,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue7,14,0.5,met5,50,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue19,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue19,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue1,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue1,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue2,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue2,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue3,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue3,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue4,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue4,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue5,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue5,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue6,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue6,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue7,15,0.5,met5,20,0.2,clock_opt_cts,met5,1.6,27.2,met4,1.5,27.3
superblue7,16,0.5,met5,20,0.2,clock_opt_opto,met5,1.6,27.2,met4,1.5,27.3
superblue9,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue9,2,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue9,3,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue9,4,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue9,5,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue9,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,2,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,3,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,4,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,5,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue11,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,2,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,3,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,4,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,5,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue14,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,1,0.5,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,2,0.6,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,3,0.7,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,4,0.8,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,5,0.9,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
superblue16,6,0.95,met5,50,0.2,place_opt,met5,1.6,27.2,met4,1.5,27.3
